Denomination,Sex,Population,Total
Anglican,Male,1135624,2496273
Anglican,Female,1360653,2496273
Catholic,Male,2391276,5075907
Catholic,Female,2684627,5075907
No Denomination,Male,319509,688440
No Denomination,Female,368926,688440
Uniting Church,Male,289969,673260
Uniting Church,Female,383294,673260
Eastern Orthodox,Male,260698,535470
Eastern Orthodox,Female,274769,535470
Other Christian,Male,303752,661429
Other Christian,Female,357677,661429
Baptist,Male,163007,347334
Baptist,Female,184329,347334
Pentecostal,Male,116857,255838
Pentecostal,Female,138980,255838
Presbyterian and Reformed,Male,194460,414882
Presbyterian and Reformed,Female,220424,414882
